name,latitude,longitude,population
Gropiusstadt,52.42686,13.46053,37686
Hemer,51.38707,7.77019,37502
Falkensee,52.56014,13.0927,37468
Buchholz in der Nordheide,53.32641,9.86812,37404
Riesa,51.30777,13.29168,37156
Würselen,50.81809,6.1347,37074
Wermelskirchen,51.1397,7.21583,36816
Tegel,52.57601,13.29389,36764
Leinfelden-Echterdingen,48.69406,9.16809,36672
Coesfeld,51.94349,7.16809,36631
Schwäbisch Hall,49.11127,9.73908,36543
Lurup,53.59266,9.87697,36521
Niederkassel,50.81503,7.03777,36480
Porta Westfalica,52.22961,8.91612,36364
Datteln,51.65598,7.3453,36338
Kempen,51.36432,6.41858,36312
Voerde,51.59703,6.6863,36047
Barmbek-Süd,53.58007,10.04067,35880
Backnang,48.94743,9.43718,35778
Pasing,48.14146,11.45599,35728
Wesseling,50.82709,6.9747,35665
Emsdetten,52.1734,7.52781,35582
Farmsen-Berne,53.60639,10.11972,35477
Langen,49.98955,8.66852,35416
Neu-Isenburg,50.04832,8.69406,35293
Zweibrücken,49.24686,7.36977,35221
Sinsheim,49.2529,8.87867,35219
Ottensen,53.55213,9.92421,35136
Greven,52.09364,7.59396,35080
Eidelstedt,53.60697,9.90538,35078
Bonn Hardtberg,50.704,7.054,35000
Uelzen,52.96572,10.56111,34996
Lage,51.99223,8.79301,34885
Bernau bei Berlin,52.67982,13.58708,34866
Tuttlingen,47.98464,8.8177,34847
Merseburg,51.35478,11.98923,34780
Vegesack,53.16667,8.61667,34757
Steinfurt,52.15045,7.33664,34601
Wernigerode,51.83652,10.78216,34463
Balingen,48.27525,8.85464,34414
Meppen,52.69064,7.29097,34198
Papenburg,53.07738,7.40444,34117
Geldern,51.51908,6.32363,34013
Kehl,48.57297,7.81523,34009
Jülich,50.92149,6.36267,33911
Leer,53.23157,7.461,33886
Limburg an der Lahn,50.3836,8.0503,33820
Fennpfuhl,52.52921,13.47267,33751
Goch,51.67873,6.15895,33706
Ostfildern,48.72704,9.24954,33598
Fürstenwalde,52.36067,14.06185,33539
Fürstenfeldbruck,48.17904,11.2547,33533
Erding,48.30603,11.90686,33519
Korschenbroich,51.19139,6.51352,33406
Dietzenbach,50.00976,8.77783,33256
Itzehoe,53.92099,9.51529,33047
Burglesum,53.16532,8.68873,33000
Seelze,52.39635,9.59727,32899
Mörfelden-Walldorf,49.99472,8.58361,32753
Höxter,51.77501,9.38155,32713
Gevelsberg,51.31971,7.3392,32664
Winsen,53.35753,10.21282,32662
Radebeul,51.10654,13.66047,32643
Nienburg,52.6461,9.22086,32629
Viernheim,49.54033,8.5782,32620
Ennepetal,51.29848,7.3629,32607
Georgsmarienhütte,52.20296,8.0448,32580
Rheinfelden,47.56013,7.78715,32535
Königs Wusterhausen,52.30141,13.633,32513
Stuhr,53.03333,8.75,32507
