,lat,lng
3383,48.1674462,15.42405
3384,48.1905769,15.4495769
3385,48.19009,15.496425
3386,48.2076619,15.4602952
3390,48.2144357,15.3297714
3392,48.2392125,15.372
3393,48.1978875,15.29025
3400,48.3528,15.9306
3413,48.3,16.2167
3420,48.3303,16.1979
3421,48.3303,16.1979
3422,48.3406,16.2443667
3423,48.3281667,16.1977
3424,48.321,16.1772
3425,48.3303,16.1979
3426,48.32755,16.1492
3430,48.33957,16.04618
3433,48.302,16.1449
3434,48.2855,16.1108333
3435,48.3335286,15.9364
3441,48.27584,15.99994
3442,48.3199,16.00125
3443,48.2426778,16.0065611
3451,48.2787714,15.9405286
3452,48.2900571,15.8786429
3454,48.3192316,15.8135053
3462,48.38824,15.95982
3463,48.4,16.0278
3464,48.3851778,16.0852
3465,48.41225,15.98285
3470,48.4374875,15.8916625
3471,48.4833,15.875
3472,48.5,15.8167
3473,48.51666,15.78
3474,48.39666,15.86
3481,48.4333,15.83335
3482,48.475,15.8167
3483,48.43035,15.77915
3484,48.40685,15.777075
3485,48.4222167,15.7388667
3491,48.49418,15.74404
3492,48.45105,15.7342
3493,48.45835,15.7167
3494,48.42165,15.6922667
3495,48.4542,15.7202
3500,48.4236182,15.5889545
3506,48.386025,15.6563
3508,48.3592714,15.6351857
3511,48.3705,15.5956857
3512,48.3653333,15.5536
3521,48.4667571,15.4191571
3522,48.4982143,15.3703071
3524,48.48504,15.2934
3525,48.4667667,15.2667667
3531,48.5471,15.2876167
3532,48.5675455,15.3408545
3533,48.5745571,15.2660857
3541,48.4476375,15.5379625
3542,48.5215,15.4759048
3543,48.5570143,15.4450143
3544,48.583325,15.474975
3550,48.4735,15.66675
3552,48.471175,15.57955
3553,48.517725,15.5815
3561,48.475,15.675
3562,48.5350429,15.6772
3564,48.5619,15.7
3571,48.5918083,15.6427833
3572,48.5840167,15.5609
3573,48.6205,15.6191
3580,48.6597429,15.6446786
3591,48.64332,15.57668
3592,48.6565,15.5097
3593,48.6372125,15.4646625
3594,48.6047714,15.3952429
3595,48.68223,15.49714
3601,48.3921333,15.5145667
3602,48.393225,15.5051
3610,48.4107,15.4383857
3611,48.4161,15.39065
3613,48.4480333,15.3698417
3620,48.3668286,15.3670429
3621,48.37574,15.387
3622,48.391525,15.336525
3623,48.417812,15.300076
3631,48.4194437,15.1954875
3632,48.4409687,15.1201375
3633,48.4518417,15.0476917
3641,48.312275,15.403825
3642,48.28836,15.39005
3643,48.2989667,15.3468722
3644,48.2639308,15.3380769
3650,48.3043327,15.2151058
3652,48.2583733,15.2530667
3653,48.2987074,15.2535815
3654,48.3334143,15.2614786
3660,48.2167,15.2167
3661,48.2704429,15.1954214
3662,48.2666143,15.1416286
3663,48.3164,15.1435
3664,48.3645941,15.1562765
3665,48.36998,15.09334
3671,48.2234429,15.1456857
3672,48.2296222,15.1650333
3680,48.20884,15.0916
3681,48.225637,15.0628778
3683,48.2501833,15.0626
3684,48.2273,15.0666
3691,48.2250857,14.9932143
3701,48.4622091,15.9836091
3702,48.4555667,16.05
3704,48.5,15.9333
3710,48.53218,15.94034
3711,48.52365,15.87305
3712,48.562475,15.842525
3713,48.5851667,15.7788889
3714,48.6065286,15.9319714
3720,48.5523857,15.8523857
3721,48.5861,15.864375
3722,48.61345,15.8573
3730,48.6401214,15.8291857
3741,48.7037,15.85702
3742,48.7361,15.7897333
3743,48.6985,15.8036
3744,48.6523333,15.7285667
3751,48.69058,15.7448
3752,48.7295429,15.7300714
3753,48.7502929,15.6398714
3754,48.7433429,15.5553429
3761,48.7176167,15.5209667
3762,48.7635667,15.4828333
3763,48.798775,15.57085
3800,48.73668,15.36666
3804,48.7035833,15.2954833
3811,48.75,15.395825
3812,48.8020875,15.4124875
3813,48.7907,15.4343
3814,48.7997625,15.4752375
3820,48.8501867,15.4830533
3822,48.8806083,15.401975
3823,48.9198625,15.461125
3824,48.8880167,15.5212167
3830,48.8177667,15.2837208
3834,48.8394545,15.1836909
3841,48.7720167,15.28735
3842,48.8681143,15.2749714
3843,48.91139,15.30726
3844,48.9533111,15.3438333
3851,48.9342444,15.2400667
3852,48.8963,15.2137444
3860,48.8575727,15.1166727
3861,48.9083333,15.1607333
3862,48.89365,15.103475
3863,48.9666667,15.1388667
3871,48.859225,15.015875
3872,48.8333167,15.0611
3873,48.874975,15.025
3874,48.9573588,15.0570706
3900,48.73669,15.26255
3902,48.7689333,15.1850222
3903,48.7113333,15.2071167
3910,48.6108125,15.1642969
3911,48.531675,15.0812643
3912,48.4916625,15.1562375
3913,48.5366333,15.1857667
3914,48.5276,15.2319714
3920,48.5709159,14.9599409
3921,48.5781333,14.8967944
3922,48.6424846,14.9480769
3923,48.6312167,15.0136167
3924,48.586,15.0158167
3925,48.49661,14.94282
3931,48.660535,15.06105
3932,48.7154556,15.1056444
3942,48.74165,15.1167
3943,48.7862,15.063775
3944,48.7611333,15.1055667
3945,48.7699,15.0468
3950,48.7682333,14.9631222
3961,48.7246375,14.9751875
3962,48.7555667,14.8527833
3970,48.6886565,14.8670783
3971,48.6645182,14.8307182
3972,48.6384,14.8326818
3973,48.62595,14.7988
4020,48.3041,14.262
4030,48.3064,14.2861
4040,48.3491933,14.2701333
4048,48.32842,14.2384
4050,48.21818,14.24174
4052,48.2055625,14.2747375
4053,48.1883778,14.2448778
4055,48.18317,14.21138
4060,48.272905,14.24243
4061,48.2616857,14.203
4062,48.2598727,14.1465727
4063,48.2471,14.1857692
4064,48.2370583,14.1444917
4070,48.3007723,14.0310936
4072,48.279225,14.094935
4073,48.2990067,14.1796867
4074,48.3180211,14.0057579
4075,48.2804,14.0228
4076,48.2842833,13.9950333
4081,48.3931711,13.9386974
4082,48.3792333,13.9839333
4083,48.4092205,13.907141
4084,48.39832,13.89899
4085,48.4103906,13.8890937
4090,48.5189875,13.6462
4091,48.5271333,13.63455
4092,48.5336,13.5904043
4100,48.3417429,14.1908857
4101,48.3554042,14.0798083
4102,48.32515,14.1173
4111,48.346925,14.1450583
4112,48.38293,14.1272
4113,48.407355,14.05648
4114,48.4169,14.0299444
4115,48.4268818,14.0385909
